id,dep,name,pop2018,agri,art,cadr,interm,emp,ouvr,retr
38115,38,Saint-Martin-de-la-Cluze,723,"9,8233695652174","19,6467391304348","54,0285326086957","127,703804347826","83,4986413043479","73,6752717391305","108,057065217391"
38116,38,Cognet,41,0,0,0,"9,53488372093024","9,53488372093024","4,76744186046512","4,76744186046512"
38117,38,Cognin-les-Gorges,633,"10,0796178343949","20,1592356687898","30,2388535031847","115,915605095541","60,4777070063694","80,6369426751592","146,154458598726"
38118,38,Colombe,"1596,00000000001","5,12799494534703","76,0654896838444","136,506124438991","238,901026552072","181,495057850245","192,675901171862","308,629717433767"
38120,38,La Combe-de-Lancey,705,0,"59,6614950634697","129,266572637518","49,7179125528914","99,4358251057828","34,802538787024","134,238363892807"
38124,38,Corbelin,2210,"4,81639685570335","60,6857327014532","133,988737231406","292,620510189422","334,041611967091","358,277493603081","420,66791426517"
38126,38,Corenc,"4053,00000000001",0,"141,55216422533","898,951832433708","419,636091929694","192,459132668046","101,10997204255","1016,75221179287"
38127,38,Cornillon-en-Trièves,"166,000000000001","5,03030303030303",0,"15,0909090909091","10,0606060606061","15,0909090909091","15,0909090909091","60,3636363636364"
38128,38,Corps,"469,999999999999","11,0831291925182","27,7078229812956","11,0831291925182","22,1662583850365","76,5307038939681","54,3644455089316","159,629341331075"
38129,38,Corrençon-en-Vercors,357,"4,95821727019499","34,7075208913649","19,83286908078","49,5821727019499","49,5821727019499","24,791086350975","79,3314763231198"
38130,38,La Côte-Saint-André,4820,"10,0159126887216","175,278472052628","221,099692311866","458,478303919635","575,914979601492","714,659066785801","1267,06303120177"
38131,38,Les Côtes-d'Arey,2023,"24,8351208223079","100,594278721165","199,555770740903","299,751941203225","264,428879019356","169,87369702048","401,254875537674"
38132,38,Les Côtes-de-Corps,71,0,"4,86301369863014",0,"19,4520547945206",0,"4,86301369863014","53,4931506849315"
38133,38,Coublevie,5026,0,"115,445854958814","731,157081405822","779,259520971994","471,40390774849","230,891709917628","1143,82686437784"
38134,38,Cour-et-Buis,906,0,25,45,150,80,90,250
38135,38,Courtenay,1275,15,65,85,200,160,220,190
38136,38,Crachier,"524,999999999999",0,"25,7744827475372","51,9978365062205","87,766456933325","77,4212526584009","82,5960939847331","73,2898965763226"
38137,38,Cras,433,0,10,40,60,40,40,95
38138,38,Crémieu,3311,0,"130,499175044702","235,544761185694","454,116439584734","382,115796476531","316,424706549602","696,597897381063"
